id,Name,Cuisine,Rating,NumberOfReviews,Address,ZipCode,Latitude,Longitude,IsClosed,InsertTime
H4jJ7XB3CetIr1pg56CczQ,Levain Bakery,indian,4.5,8218,1484 3rd Ave,10023,40.7773520936702,-73.980282552649,False,15/10/2020 23:37:46
V7lXZKBDzScDeGB8JmnzSA,Katz's Delicatessen,indian,4,12399,205 E Houston St,10002,40.722237,-73.9875259,False,15/10/2020 23:37:46
44SY464xDHbvOcjDzRbKkQ,Ippudo NY,indian,4,9984,65 4th Ave,10003,40.73092,-73.99015,False,15/10/2020 23:37:46
xEnNFXtMLDF5kZDxfaCJgA,The Halal Guys,indian,4,9501,W 53rd St,10019,40.76477,-73.98614,False,15/10/2020 23:37:46
jVncyqXwlx_D9f2xZn05tg,The Metropolitan Museum of Art,indian,4.5,2898,1000 5th Ave,10028,40.779449,-73.963245,False,15/10/2020 23:37:46
xOw4aafJRji9XomGunlvcQ,Central Park,indian,5,2483,14 E 60th St,10022,40.782418740809,-73.9656022837641,False,15/10/2020 23:37:46
WHRHK3S1mQc3PmhwsGRvbw,Bibble & Sip,indian,4.5,4822,253 W 51st St,10019,40.76282,-73.98518,False,15/10/2020 23:37:46
jnEv25Y2DosTq2sNnvmC9g,Los Tacos No.1,indian,4.5,3018,75 9th Ave,10011,40.7425547,-74.0060838,False,15/10/2020 23:37:46
zj8Lq1T8KIC5zwFief15jg,Prince Street Pizza,indian,4.5,3666,27 Prince St,10012,40.7229087705545,-73.9944863319397,False,15/10/2020 23:37:46
jjJc_CrkB2HodEinB6cWww,LoveMama,indian,4.5,5098,174 2nd Ave,10003,40.7303859,-73.9860613,False,15/10/2020 23:37:46
j1S3NUrkB3BVT49n_e76NQ,Best Bagel & Coffee,indian,4.5,3328,225 W 35th St,10001,40.7522683,-73.9910861,False,15/10/2020 23:37:46
UA2M9QFZghe-9th2KwLoWQ,Burger & Lobster,indian,4,5443,39 W 19th St,10011,40.74007,-73.99344,False,15/10/2020 23:37:46
B3_K2kUVbYOU0VaLcj_LTw,Thai Villa,indian,4.5,3431,5 E 19th St,10003,40.73902,-73.99065,False,15/10/2020 23:37:46
veq1Bl1DW3UWMekZJUsG1Q,Gramercy Tavern,indian,4.5,2920,42 E 20th St,10003,40.73844,-73.98825,False,15/10/2020 23:37:46
JION8hhg7q6zyayHYwhxIw,The High Line,indian,4.5,2345,820 Washington St,10014,40.7396,-74.0084399,False,15/10/2020 23:37:46
4yPqqJDJOQX69gC66YUDkA,Peter Luger,indian,4,5779,178 Broadway,11211,40.709945,-73.962478,False,15/10/2020 23:37:46
kViIWJFfAfWPpJOwAXBKGA,National September 11 Memorial Museum,indian,4.5,1424,180 Greenwich St,10007,40.71143,-74.012481,False,15/10/2020 23:37:46
nU4XBdvxDABXqZ6CnB8Dig,Clinton Street Baking Company,indian,4,5096,4 Clinton St,10002,40.721128,-73.983933,False,15/10/2020 23:37:46
FEVQpbOPOwAPNIgO7D3xxw,Shake Shack,indian,4,5597,E 23rd St Madison Avenue,10010,40.7417320034487,-73.9881852006622,False,15/10/2020 23:37:46
SULHf6nGQ8sK0UpG1XU30w,Los Tacos No.1,indian,4.5,1810,229 W 43rd St,10036,40.7575067,-73.9877717,False,15/10/2020 23:37:46
vRrVSB-LegwUwIxpkeRVtQ,Le Bernardin,indian,4.5,2540,155 W 51st St,10019,40.761557,-73.981763,False,15/10/2020 23:37:46
vk7W3_sQwr7eZbRFsXv6rw,Taiyaki NYC,indian,4.5,2898,119 Baxter St,10013,40.71789,-73.9988,False,15/10/2020 23:37:46
ga6sRtE0l85iftw_5-W84Q,Dominique Ansel Bakery,indian,4,4541,189 Spring St,10012,40.72522,-74.00291,False,15/10/2020 23:37:46
mvn2XFJfIPNAlvsy-arzkA,Brooklyn Bridge,indian,4.5,1386,334 Furman St,11201,40.7059677364821,-73.9966657489186,False,15/10/2020 23:37:46
xt4sa64WOrpJvZBDPNPNYg,Jacob's Pickles,indian,4,4235,509 Amsterdam Ave,10024,40.7866504411994,-73.9755284786224,False,15/10/2020 23:37:46
nI1UYDCYUTt23TpGxqnLKg,Buddakan,indian,4,3993,75 9th Ave,10011,40.7422762672197,-74.0048000961542,False,15/10/2020 23:37:46
ysqgdbSrezXgVwER2kQWKA,Juliana's Pizza,indian,4.5,2225,19 Old Fulton St,11201,40.7026153030093,-73.9934159993549,False,15/10/2020 23:37:46
ETgJqJHV7BW6pIr9Ox74sA,Amélie,indian,4.5,2687,22 W 8th St,10011,40.7327,-73.99766,False,15/10/2020 23:37:46
0CjK3esfpFcxIopebzjFxA,Joe's Shanghai,indian,4,6208,46 Bowery St,10013,40.7156608,-73.9967012,False,15/10/2020 23:37:46
VrCCr45dhN-RRM107iptdg,Russ & Daughters,indian,4.5,2239,179 E Houston St,10002,40.722589,-73.9882828294139,False,15/10/2020 23:37:46
A_YpTLbAlEqeLVSs9bxbEA,Club A Steakhouse,indian,4.5,2804,240 E 58th St,10022,40.76006,-73.96557,False,15/10/2020 23:37:46
a0IET3_yCFcO36OqGSsisg,Eataly Flatiron,indian,4,5632,200 5th Ave,10010,40.74195877796,-73.989716662832,False,15/10/2020 23:37:46
o6q3jm-dU5A6nV3r2lBg9A,Chinatown Ice Cream Factory,indian,4,2781,65 Bayard St,10013,40.715452,-73.99818,False,15/10/2020 23:37:46
VvsZAnEwU4c8Xkyrzx05Nw,Anytime,indian,4.5,1416,23 W 32nd St,10001,40.74779,-73.98674,False,15/10/2020 23:37:46
TN4RnyqHMSupRFot4Q-_EA,Ippudo Westside,indian,4,3689,321 W 51st St,10019,40.76344,-73.98661,False,15/10/2020 23:37:46
nRO136GRieGtxz18uD61DA,Eleven Madison Park,indian,4.5,2182,11 Madison Ave,10010,40.7416907417333,-73.9872074872255,False,15/10/2020 23:37:46
ikazsJps1k-Br2FbunwCtg,Spot Dessert Bar,indian,4,3005,13 St Marks Pl,10003,40.72939,-73.98892,False,15/10/2020 23:37:46
WIhm0W9197f_rRtDziq5qQ,Lombardi's Pizza,indian,4,6116,32 Spring St,10012,40.7215934960083,-73.9955956044561,False,15/10/2020 23:37:46
b8a-8u_A51v2IzyjLVsx6w,Del Frisco's Double Eagle Steakhouse,indian,4.5,3008,1221 Ave Of The Americas,10020,40.759412,-73.982221,False,15/10/2020 23:37:46
ehUuSk5gPTCQmwS_ubgKRA,Upstate Craft Beer & Oyster Bar,indian,4.5,1862,95 1st Ave,10003,40.726373,-73.986557,False,15/10/2020 23:37:46
